更新时间,#genre#
CCTV3,http://123.129.70.178:9901/tsfile/live/0003_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV3,http://220.249.114.102:9901/tsfile/live/1002_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV3,http://183.24.48.6:9901/tsfile/live/1002_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV3,http://116.226.25.48:4022/rtp/239.45.1.68:5140$1920x1080
CCTV3,http://101.83.173.152:9999/rtp/239.45.1.68:5140$1920x1080
CCTV3,http://116.226.14.76:8888/rtp/239.45.1.68:5140$1920x1080
CCTV3,http://218.78.180.91:9999/rtp/239.45.1.68:5140$1920x1080
CCTV3,http://223.11.153.2:7777/rtp/239.1.1.9:8009$1920x1080
CCTV3,http://223.10.61.150:8083/rtp/239.1.1.9:8009$1920x1080
CCTV3,http://223.10.39.207:8083/rtp/239.1.1.9:8009$1920x1080
CCTV3,http://110.178.77.222:8083/rtp/239.1.1.9:8009$1920x1080
CCTV3,http://223.10.0.119:8083/rtp/239.1.1.9:8009$1920x1080
CCTV3,http://223.10.39.207:8082/rtp/239.1.1.9:8009$1920x1080
CCTV3,http://[2409:8087:1a01:df::4077]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226021/index.m3u8
CCTV3,https://jump.taoiptv.cn/iptv3.php?id=100110&num=3&sign=fk3aks
CCTV3,http://116.179.149.222:6001/rtp/226.0.2.208:9576$1920x1080
CCTV3,http://[2409:8087:2001:20:2800:0:df6e:eb26]/ott.mobaibox.com/PLTV/1/224/3221228188/index.m3u8
CCTV3,http://[2409:8087:1a01:df::7005]/ottrrs.hl.chinamobile.com/yinhe/88888888/224/3221226021/index.m3u8
CCTV3,http://116.117.105.198:8096/tsfile/live/0003_1.m3u8
CCTV3,http://1732e975z9.zicp.fun:8082/hls/3/index.m3u8
CCTV3,http://59.173.243.210:9901/tsfile/live/0003_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV3,http://www.72444165.xyz:5005/itv/ystenlive/1000000005000265003$1920x1080
CCTV3,http://218.3.138.25:1111/tsfile/live/1002_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV4,http://58.216.229.130:9901/tsfile/live/0004_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV4,http://223.241.247.214:9901/tsfile/live/0004_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV4,http://60.12.183.46:9901/tsfile/live/0004_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV4,http://116.128.242.83:9901/tsfile/live/0004_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV4,http://202.100.46.58:9901/tsfile/live/1003_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV4,http://58.48.37.158:1111/tsfile/live/0004_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV4,http://222.134.245.16:9901/tsfile/live/0004_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV4,http://58.51.111.46:1111/tsfile/live/1004_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV4,http://58.57.21.166:9901/tsfile/live/0004_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV4,http://36.35.16.98:9901/tsfile/live/0004_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV4,http://116.226.25.48:4022/rtp/239.45.0.2:5140$1920x1080
CCTV4,http://101.83.173.152:9999/rtp/239.45.0.2:5140$1920x1080
CCTV4,http://116.226.14.76:8888/rtp/239.45.0.2:5140$1920x1080
CCTV4,http://218.78.180.91:9999/rtp/239.45.0.2:5140$1920x1080
CCTV4,http://223.11.153.2:7777/rtp/239.1.1.10:8010$1920x1080
CCTV4,http://223.10.61.150:8083/rtp/239.1.1.10:8010$1920x1080
CCTV4,http://223.10.39.207:8083/rtp/239.1.1.10:8010$1920x1080
CCTV4,http://110.178.77.222:8083/rtp/239.1.1.10:8010$1920x1080
CCTV4,http://223.10.0.119:8083/rtp/239.1.1.10:8010$1920x1080
CCTV4,http://223.10.39.207:8082/rtp/239.1.1.10:8010$1920x1080
CCTV4,http://[2409:8087:1a01:df::7005]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226428/index.m3u8
CCTV4,https://vip.taoiptv.cn/source/gitv.php?id=CCTV4hd-8M.m3u8&sign=06zcwd$1920x1080
CCTV4,http://[2409:8087:5e00:24::1e]:6060/000000001000/1000000005000265004/1.m3u8
CCTV4,http://ygbh666.cn/aikmigu.php?id=cctv4o
CCTV4,http://114.254.93.135:2222/rtp/239.3.1.105:8092$1920x1080
CCTV4,http://60.220.167.69:8083/rtp/226.0.2.156:9160$1920x1080
CCTV4,http://fangke.blueswords.com:9901/tsfile/live/0004_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV4,https://vip.taoiptv.cn/source/itv.php?id=CCTV450FPS.m3u8&sign=06zcwd$1920x1080
CCTV4,https://vip.taoiptv.cn/source/gzyx.php?id=0ad5b86534e39cb9a77b00a76ac9fe12.m3u8&sign=06zcwd$1920x1080
CCTV5,http://220.164.192.48:50085/tsfile/live/0006_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV5,http://59.173.243.210:9901/tsfile/live/1005_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV5,http://223.241.247.214:9901/tsfile/live/0005_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV5,http://116.128.242.83:9901/tsfile/live/0006_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV5,http://61.157.139.15:9901/tsfile/live/2375_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV5,http://36.35.16.98:9901/tsfile/live/0005_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV5,http://122.139.47.206:9901/tsfile/live/0005_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV5,http://58.57.21.166:9901/tsfile/live/0005_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV5,http://58.19.38.162:9901/tsfile/live/1004_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV5,http://119.163.228.205:9901/tsfile/live/0005_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV5,http://116.226.25.48:4022/rtp/239.45.1.69:5140$1920x1080
CCTV5,http://101.83.173.152:9999/rtp/239.45.1.69:5140$1920x1080
CCTV5,http://116.226.14.76:8888/rtp/239.45.1.69:5140$1920x1080
CCTV5,http://218.78.180.91:9999/rtp/239.45.1.69:5140$1920x1080
CCTV5,http://223.11.153.2:7777/rtp/239.1.1.11:8011$1920x1080
CCTV5,http://223.10.61.150:8083/rtp/239.1.1.11:8011$1920x1080
CCTV5,http://223.10.39.207:8083/rtp/239.1.1.11:8011$1920x1080
CCTV5,http://110.178.77.222:8083/rtp/239.1.1.11:8011$1920x1080
CCTV5,http://223.10.0.119:8083/rtp/239.1.1.11:8011$1920x1080
CCTV5,http://223.10.39.207:8082/rtp/239.1.1.11:8011$1920x1080
CCTV5,http://60.12.183.46:9901/tsfile/live/0005_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV5,http://116.179.149.222:6001/rtp/226.0.2.209:9584$1920x1080
CCTV5,http://[2409:8087:1a01:df::7005]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226019/index.m3u8
CCTV5,http://[2409:8087:1a01:df::4077]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226019/index.m3u8
CCTV5,http://[2409:8087:5e00:24::10]:6060/200000001898/460000089800010139/
CCTV5,http://[2409:8087:5e00:24::1e]:6060/000000001000/1000000005000265005/1.m3u8
CCTV5,http://123.129.70.178:9901/tsfile/live/0005_1.m3u8
CCTV5,http://[2409:8087:1a01:df::7005]/ottrrs.hl.chinamobile.com/yinhe/88888888/224/3221226019/index.m3u8
CCTV5,https://jump.taoiptv.cn/iptv3.php?id=100135&num=3&sign=fk3aks
CCTV5,http://[2409:8087:5e00:24::1e]:6060/200000001898/460000089800010145/main.m3u8
CCTV5+,http://123.138.216.44:9902/tsfile/live/0016_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV5+,http://116.128.242.83:9901/tsfile/live/0005_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV5+,http://222.134.245.16:9901/tsfile/live/0016_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV5+,http://119.163.228.205:9901/tsfile/live/0006_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV5+,http://59.173.243.210:9901/tsfile/live/1021_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV5+,http://61.136.172.236:9901/tsfile/live/0016_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV5+,http://119.163.63.188:9901/tsfile/live/0006_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV5+,http://61.138.128.226:19901/tsfile/live/1006_1.m3u8?key=txiptv&playlive=1&authid=0
